# Optimization log started at 2026-03-26T11:08:09.588542
# iter	A1_imag	B1	lambda	obj
35	4.916548862457e-01	2.275414180756e-01	9.565169061741e-01	3.194835346538e-06
36	4.937837147713e-01	2.274231219292e-01	9.622268911186e-01	2.445086568840e-07
37	4.941633095741e-01	2.285167479515e-01	9.615736479393e-01	1.140427826016e-06
38	4.938435591459e-01	2.281164962053e-01	9.613427812737e-01	2.882381838662e-07
39	4.932040582895e-01	2.273159927130e-01	9.608810504950e-01	2.983539172360e-07
40	4.936836839318e-01	2.279163703322e-01	9.612273483565e-01	7.659374632981e-08
41	4.931638718247e-01	2.285026153922e-01	9.589973997887e-01	7.159362474351e-07
42	4.936287540346e-01	2.276929952949e-01	9.614195177992e-01	3.603540065135e-08
43	4.940485353023e-01	2.275999986380e-01	9.626499265120e-01	3.756749388308e-07
44	4.934600608237e-01	2.279070249014e-01	9.606601869859e-01	2.281477224902e-08
45	4.934051309265e-01	2.276836498640e-01	9.608523554913e-01	1.058370946751e-08
46	4.932658544239e-01	2.275672896300e-01	9.606648589883e-01	8.124922062123e-08
47	4.932364377156e-01	2.278976794705e-01	9.600930250781e-01	6.607675179300e-08
48	4.935306749549e-01	2.277441663388e-01	9.610878947225e-01	6.289971113783e-09
49	4.934757450577e-01	2.275207913015e-01	9.612800640513e-01	7.164398856321e-08
50	4.934639818822e-01	2.278104665014e-01	9.608151561831e-01	2.250366232562e-09
51	4.935895259106e-01	2.278709829762e-01	9.610506945740e-01	3.011949598229e-08
52	4.934512296725e-01	2.277304831421e-01	9.609019401762e-01	1.619739053238e-09
53	4.933845365999e-01	2.277967833047e-01	9.606292019372e-01	5.756260862235e-09
54	4.934210711886e-01	2.277836290632e-01	9.607438753432e-01	1.384360902633e-09
55	4.934083189789e-01	2.277036457039e-01	9.608306593385e-01	6.836884353533e-09
56	4.934500661564e-01	2.277837613020e-01	9.608190312665e-01	3.255140821721e-10
57	4.934199076725e-01	2.278369072231e-01	9.606609667049e-01	6.809140117526e-09
58	4.934433991725e-01	2.277570891623e-01	9.608416972340e-01	2.421115038040e-10
59	4.934723941403e-01	2.277572214012e-01	9.609168533196e-01	4.337914658140e-10
60	4.934595634024e-01	2.277638233167e-01	9.608736093606e-01	4.175665857054e-11
61	4.934528964185e-01	2.277371511770e-01	9.608962744963e-01	1.076638458516e-09
62	4.934507737219e-01	2.277721087708e-01	9.608383427167e-01	3.790728065110e-11
63	4.934669379518e-01	2.277788429251e-01	9.608702546709e-01	3.017455211934e-10
64	4.934492838673e-01	2.277625276030e-01	9.608488363456e-01	5.508392680588e-11
65	4.934610532570e-01	2.277734044844e-01	9.608631149628e-01	8.112369587374e-11
66	4.934522262147e-01	2.277652468234e-01	9.608524062016e-01	1.050837763187e-11
67	4.934434365343e-01	2.277735322775e-01	9.608171392129e-01	1.616145306537e-10
68	4.934555316853e-01	2.277662505569e-01	9.608594909862e-01	2.965402008643e-12
69	4.934569841782e-01	2.277593886095e-01	9.608735555695e-01	8.302241354781e-11
70	4.934523263360e-01	2.277689287304e-01	9.608471459370e-01	6.581564932777e-12
71	4.934556318066e-01	2.277699324639e-01	9.608542315449e-01	8.684405968926e-12
72	4.934547804086e-01	2.277687610538e-01	9.608537745107e-01	1.601775869518e-12
73	4.934579857580e-01	2.277660828802e-01	9.608661212563e-01	1.494021357931e-11
74	4.934537411915e-01	2.277682172679e-01	9.608518896391e-01	1.064953978588e-12
75	4.934529899148e-01	2.277707277648e-01	9.608461729075e-01	1.427609192092e-11
